Comment,Designator,Footprint,LCSC
30pF,"C3,C4",C_0402_1005Metric,C107004
1K,R1001,R_0402_1005Metric,C11702
100nF,"C10,C11,C13,C14,C15,C16,C5,C6,C9",C_0402_1005Metric,C1525
USB_C_Receptacle_USB2.0,J1,HRO-TYPE-C-31-M-12_LCSC,C165948
RP2040,U4,RP2040-QFN-56,C2040
27,"R3,R4",R_0402_1005Metric,C25100
5k1,"R1,R2",R_0402_1005Metric,C25905
1.1A,F1,Fuse_1206_3216Metric,C2760273
SRV05-4,U1001,SOT-23-6,C3021103
SW_Push,"RP_SW1,RP_SW2",SW_SPST_TL3342,C318884
1uF,"C1001,C1002,C7,C8",C_0402_1005Metric,C52923
AMS1117-3.3,U1002,SOT-223,C6186
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
MountingHole_Pad,H1,MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom,
MountingHole_Pad,H2,MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom,
MountingHole_Pad,H4,MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom,
HDR1X3,CON2,PinSocket_1x03_P2.54mm_Vertical,
MountingHole_Pad,H3,MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom,
HDR1X3,CON3,PinSocket_1x03_P2.54mm_Vertical,
