Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,30pF,C_0402_1005Metric,102.716,-92.279,-90.0,top
C4,30pF,C_0402_1005Metric,107.486,-94.559,0.0,top
C5,100nF,C_0402_1005Metric,106.066,-82.219,-90.0,top
C6,100nF,C_0402_1005Metric,108.426,-91.889,180.0,top
C7,1uF,C_0402_1005Metric,108.246,-82.219,-90.0,top
C8,1uF,C_0402_1005Metric,109.166,-82.219,-90.0,top
C9,100nF,C_0402_1005Metric,110.086,-82.219,-90.0,top
C10,100nF,C_0402_1005Metric,111.006,-84.039,-90.0,top
C11,100nF,C_0402_1005Metric,111.456,-88.249,180.0,top
C13,100nF,C_0402_1005Metric,101.396,-88.249,0.0,top
C14,100nF,C_0402_1005Metric,101.846,-84.039,-90.0,top
C15,100nF,C_0402_1005Metric,106.986,-82.219,-90.0,top
C16,100nF,C_0402_1005Metric,108.426,-92.809,180.0,top
C1001,1uF,C_0402_1005Metric,132.461,-53.975,0.0,top
C1002,1uF,C_0402_1005Metric,136.4488,-56.0806,90.0,top
CON2,HDR1X3,PinSocket_1x03_P2.54mm_Vertical,65.913,-67.564,0.0,top
CON3,HDR1X3,PinSocket_1x03_P2.54mm_Vertical,65.898,-54.976,180.0,top
F1,1.1A,Fuse_1206_3216Metric,125.73,-53.887,180.0,top
J1,USB_C_Receptacle_USB2.0,HRO-TYPE-C-31-M-12_LCSC,125.73,-45.927,180.0,top
R1,5k1,R_0402_1005Metric,130.75,-45.837,90.0,top
R2,5k1,R_0402_1005Metric,120.7,-45.847,90.0,top
R3,27,R_0402_1005Metric,107.14898,-80.379,90.0,top
R4,27,R_0402_1005Metric,108.08898,-80.379,90.0,top
R1001,1K,R_0402_1005Metric,107.046,-93.169,-90.0,top
RP_SW1,SW_Push,SW_SPST_TL3342,131.958,-76.175,90.0,top
RP_SW2,SW_Push,SW_SPST_TL3342,131.948,-86.462,90.0,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,102.656,-78.479,90.0,top
U4,RP2040,RP2040-QFN-56,106.426,-87.249,0.0,top
U1001,SRV05-4,SOT-23-6,125.73,-51.067,0.0,top
U1002,AMS1117-3.3,SOT-223,132.334,-59.563,-90.0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,104.876,-93.469,90.0,top
